Location,Hospital_Name,State,District,Pincode
Near Dollygunj Junction,Chakraborty Multi Speciality Hospital,Andaman and Nicobar Islands,South Andaman,744101
Medical Board Office,Inhs Dhanvantri,Andaman and Nicobar Islands,South Andaman,744101
Near Masjid,Maricar Hospital,Andaman and Nicobar Islands,South Andaman,744103
"Lamba Line, P.B. No. 526",Pillar Health Centre,Andaman and Nicobar Islands,South Andaman,744103
"GB Pant Road, City Centre, Port Blair","G B Pant Hospital, Port Blair",Andaman and Nicobar Islands,South Andaman,744103
"Road No.1, Banjara Hills","Care Hospital, Banjara",Andhra Pradesh,Hyderabad,500034
"7/201, Court Road Anantapur 515001  Anantapur",Aasha Hospitals,Andhra Pradesh,Anantapur,515001
"10-470, Adimurthy Nagar, Opposite Guild Off Service School",Abhaya Kidney Care Multispeciality Hospital,Andhra Pradesh,Anantapur,515001
"Hyma Test Tube Baby and Research Centre, Baby Hospital Complex, Sainagar,Anantapur",Baby Hospital,Andhra Pradesh,Anantapur,515001
"12-3-234, 6Th Cross Sai Nagar Anantapur 515001  Anantapur",Dr Akbar Eye Hospital And Laser Centre,Andhra Pradesh,Anantapur,515001
"12-2-878, I Cross, Sai Nagar,Near By Sbi Main Branch,.",Dr.Ysr Memorial Hospitals,Andhra Pradesh,Anantapur,515001
"Sai Nagar Iind Cross,Anantapur",Hrudaya Children Hospital,Andhra Pradesh,Anantapur,515001
"15-381, Kamala Nagar,.","Jeevana Jyothi Hospitals Ltd.,",Andhra Pradesh,Anantapur,515001
Opposite Annapurna Lodge Kamalanagar,K K Nursing Home,Andhra Pradesh,Anantapur,515001
Railway Station Road,Meda Nursing Home,Andhra Pradesh,Anantapur,515001
"12/3-269, Sai Nagar, 6Th Cross, Anantapur",Mnr Nursing Home,Andhra Pradesh,Anantapur,515001
D No: 15/721 Kamala Nagar Anantapur 515001  Anantapur,Mythri Hospitals,Andhra Pradesh,Anantapur,515001
"Aravinda Nagar, 2 Nd Cross",Padmavathi Hospital,Andhra Pradesh,Anantapur,515001
